公館小吃店,水源市場到師大分部,羅斯福路四段136巷4-1號,30-75,$,台式,飯、麵、米粉、冬粉,米食 麵食,葷,有,20,"日一二三四五六,**",bento.png,C H
The Common,水源市場到師大分部,羅斯福路四段138號3F,130-180,$$,西式,披薩,披薩,葷,有,30,"日一二三四五六,1200-2200",pizza.png,C H
公館蚵仔麵線,水源市場到師大分部,羅斯福路四段136巷,40-60,$,台式,麵線、臭豆腐,麵食 其他,葷,有,20,"日一二三四五六,**",mensen.png,C H
西西里克,水源市場到師大分部,羅斯福路四段138號2F,170-240,$$ $$$,西式,披薩、燒烤、炸物,披薩 烤物 炸物,葷,有,25,"日二三四五六,1100-2200",pizza.png,C H
樂樂韓食,水源市場到師大分部,水源市場59,110,$$,韓式,飯、鍋物,米食 鍋物,葷,有,15,"日一二三四五六,1130-1400/1630-1830",korean.png,C
柯記,水源市場到師大分部,水源市場80,75,$,台式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,**",noodle.png,C H
咖哩屋,水源市場到師大分部,水源市場98,100,$,日式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,1100-1400/1600-1830",curry01.png,C
水源食坊,水源市場到師大分部,水源市場73,85,$,台式,飯,米食,葷,有,10,"日一二三四五六,**",bento.png,C H
水源市場美食料理,水源市場到師大分部,水源市場65,80,$,台式,飯、粥,米食,葷,有,15,"日一二三四五六,**",bento.png,C H
龍記,水源市場到師大分部,水源市場32,80-110,$ $$,台式,飯、河粉,米食 麵食,葷,有,10,"日一二三四五六,**",chahan.png,C H
祥記,水源市場到師大分部,水源市場,75-120,$ $$,台式,飯、麵、米粉,米食 麵食,葷,有,30,"日一二三四五六,1100-1500/1700-2000",chahan.png,C H
柯媽的店,水源市場到師大分部,羅斯福路四段136巷,75-90,$,台式,飯、麵、粥、米粉,米食 麵食,有提供素食,有,10,"日一二三四五六,**",bento.png,C H
66屋日式丼飯,水源市場到師大分部,水源市場66,60-130,$ $$,日式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,**",donburi.png,C H
越南小吃,水源市場到師大分部,水源市場57,85-100,$,東南亞料理,飯、米粉、河粉,米食 麵食,葷,有,10,"日一二三四五六,**",vietnam.png,C H
壹之鄉排骨,水源市場到師大分部,水源市場29,75-100,$,台式,飯,米食,葷,有,15,"日一二三四五六,**",bento.png,C H
祥滿,水源市場到師大分部,水源市場53,60-100,$,台式,飯、麵、米粉,米食 麵食,葷,有,10,"日一二三四五六,**",bento.png,C H
公館米粉湯,水源市場到師大分部,水源市場54,35-60,$,台式,飯、麵、米粉、粥,米食 麵食,葷,有,20,"日一二三四五六,**",bento.png,C
大水元米食,水源市場到師大分部,水源市場25,80-120,$ $$,台式,飯,米食,葷,有,10,"日一二三四五六,**",bento.png,C H
狠台,水源市場到師大分部,水源市場15,75-80,$,台式,飯、麵、米粉,米食 麵食,有提供素食,有,8,"日一二三四五六,**",bento.png,C H
牛,水源市場到師大分部,水源市場,60-140,$ $$,台式,麵,麵食,葷,有,10,"日一二三四五六,**",noodle.png,C H
竹的丼飯屋,水源市場到師大分部,水源市場8,65-80,$,日式,飯,米食,葷,有,10,"日一二三四五六,**",donburi.png,C H
虹岩屋,水源市場到師大分部,水源市場18,70-90,$,台式,飯、冬粉、河粉,米食 麵食,葷,有,15,"日一二三四五六,**",bento.png,C H
白帝城川式滷味,水源市場到師大分部,羅斯福路四段136巷8號,不拘,$ $$ $$$ $$$$ $$$$$,中式,麵、冬粉、粄條,麵食,葷,有,15,"日一二三四五六,1630-2400",burger.png,C H
sukiya,溫州街,台北市大安區羅斯福路三段309號,100-300,$ $$ $$$,日式,飯,米食,葷,有,15,"日一二三四五六,0000-2400",sukiya.png,C H
埃及沙威瑪王,溫州街,台北市大安區羅斯福路三段325號,50-70,$,埃及式,沙威瑪、肉,沙威瑪,葷,無,0,"日一二三四五六,1100-2200",sawama.png,C H
大學口胡椒餅,溫州街,台北市大安區羅斯福路三段333巷2-1號,40-100,$,台式,胡椒餅、肉,胡椒餅,葷,無,0,"日一二三四五六,1200-2100",pepper.png,C H
粥粥頌廣東粥,溫州街,台北市大安區羅斯福路三段333巷2-1號,70-100,$,中式,飯、麵,米食 麵食,葷,有,6,"日一二三四五六,1000-2030",okayu.png,C
小林阿盛壽司,溫州街,台北市大安區羅斯福路三段333巷2-1號(12/25搬家),60-120,$ $$,日式,壽司、生魚片,米食,葷,有,16,"一二四五六,1100-2000",sushi.png,H
興隆涼麵,溫州街,台北市大安區羅斯福路三段333巷1號,10-100,$,台式,麵、臭豆腐,麵食 炸物,葷,有,7,"日一二三四五六,1100-2230",coldnoodle.png,H
上賀麵食館,溫州街,台北市大安區羅斯福路三段333巷2-1號,60-120,$ $$,中式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1100-2230",vege.png,C H
金湯匙豆花坊,溫州街,台北市大安區羅斯福路三段333巷4號,90-140,$ $$,台式,飯,米食,全素,有,24,"日一二三四五六,1100-2100",vege.png,C H
小飯廳,溫州街,106台北市大安區羅斯福路三段333巷6號,100-200,$ $$,中式,飯,米食,葷,有,40,"日一二三四五六,1130-1500/1700-2100",bento.png,C H
BrassJoy cafe 銅樂咖啡,溫州街,106台北市大安區新生南路三段96號-1號,150-400,$$ $$$ $$$$,西式,麵、漢堡、沙拉,麵食 漢堡 沙拉,葷,有,40,"日一二三四五六,1100-2200",burger.png,C H
肯德基,溫州街,106台北市大安區新生南路三段96-1號,100-200,$ $$,美式 西式,漢堡、炸物,漢堡 炸物,葷,有,50+,"日一二三四五六,0700-2400",chicken.png,C H
俄羅斯城堡,溫州街,106台北市大安區羅斯福路三段333巷14號,150-400,$$ $$$ $$$$,西式,飯、肉,米食 烤物,葷,有,24,"日一二三四五六,1200-1500/1700-2130",russia.png,C H
中一蔬食園,溫州街,"號, No. 20羅斯福路三段333巷大安區台北市106",70,$,台式,飯,米食,全素,有,10,"一二三四五,1100-1430/1700-2030 六,1100-1430",vege.png,C H
集客人間茶館,溫州街,106台北市大安區羅斯福路三段333巷18號,250-400,$$$ $$$$,中式,鍋物、烤肉,鍋物 烤物,葷,有,50+,"一二三四五,1100-2200 六日,1100-2300",hot01.png,C
Cafe Bastille,溫州街,106台北市大安區溫州街91號,200-300,$$ $$$,西式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1200-2400",pasta01.png,C H
好想吃冰,溫州街,106台北市大安區溫州街80號,100-300,$ $$ $$$,日式,飯、麵,米食 麵食,有提供素食,有,24,"日一二三四五六,1200-2100",ice.png,H
韓庭州 韓式料理,溫州街,106台北市大安區溫州街87號,140-400,$$ $$$ $$$$,韓式,鍋物、飯,米食 鍋物,葷,有,50+,"日一二三四五六,1100-1430/1700-2100",korean.png,C
彼克蕾友善咖啡館,溫州街,106台北市大安區新生南路三段76巷5號,150-300,$$ $$$,西式,飯、麵、披薩,米食 麵食 披薩,葷,有,30,"一二三四五,1130-2130 六日,1030-2130",pasta02.png,C H
光一肆號,溫州街,106台北市大安區新生南路三段76巷2號,300-500,$$$ $$$$,西式,麵、麵包、三明治、沙拉,麵食 麵包 三明治 沙拉,葷,有,50+,"一二三四五,1000-2100 六日,0900-2100",cafe.png,C H
寶貝咖哩,溫州街,106台北市大安區新生南路三段72-5號,80-150,$ $$,日式,飯,米食,有提供素食,有,8,"日一二三四五六,1100-1400/1630-2030",curry02.png,C
NoName無名咖哩,溫州街,106台北市大安區新生南路三段68-2號巷子進來第三間,150-200(內用)/120-150(外帶）,$$,日式,飯,米食,葷,有,24,"日一二三四五,1100-1400/1600-2000",curry02.png,C
溏老鴨 平價小火鍋,溫州街,106台北市大安區新生南路三段70巷3號,140-220,$$ $$$,台式,鍋物,鍋物,葷,有,50+,"日一二三四五六,1140-1500/1700-2200",hot01.png,C
蘇活義大利麵坊,溫州街,106台北市大安區新生南路三段60巷3號,200-330,$$ $$$ $$$$,西式,麵,麵食,葷,有,40,"日一二三四五六,1130-1430/1700-2130",pasta02.png,C H
璞田,溫州街,10660台北市大安區新生南路三段60巷5號,110-230,$$ $$$,西式 日式,飯、排餐,米食 排餐,葷,有,50+,"一二三四五六,1130-1400/1700-2045",steak.png,C H
